0,4,100,20,1000,0.84,0.8,1.0,1.0
0,4,100,20,1000,0.82,0.85,0.8535353535353536,0.8503759398496241
0,4,100,20,1000,0.82,0.7,0.7738095238095238,0.76
0,4,100,20,1000,0.8,0.7,0.8636363636363636,0.8488721804511279
0,4,100,20,1000,0.82,0.95,0.898989898989899,0.9
0,4,100,20,1000,0.84,0.7,0.8500000000000001,0.849624060150376
0,6,100,20,1000,0.86,0.75,0.8888888888888888,0.8979166666666666
0,6,100,20,1000,0.77,0.8,0.8541666666666667,0.851150895140665
0,6,100,20,1000,0.86,0.8,0.7708333333333333,0.7934065934065935
0,6,100,20,1000,0.91,0.85,0.8541666666666667,0.851150895140665
0,6,100,20,1000,0.81,0.9,0.8333333333333333,0.8
0,6,100,20,1000,0.82,0.8,0.8541666666666667,0.851150895140665
0,6,100,20,1000,0.77,0.9,0.95,0.949874686716792
0,6,100,20,1000,0.82,0.75,1.0,1.0
0,6,100,20,1000,0.85,0.85,1.0,1.0
0,6,100,20,1000,0.88,0.8,0.8535353535353536,0.8503759398496241
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,0.8333333333333333,0.8
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,20,5,1000,0.7,0.6,1.0,1.0
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,10,5,1000,0.7,0.6,0.5,0.45
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,15,5,1000,0.6666666666666666,0.8,0.8333333333333333,0.8
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,15,5,1000,0.6666666666666666,0.8,1.0,1.0
0,6,12,5,1000,0.75,0.6,0.75,0.7809523809523808
0,6,12,5,1000,0.75,0.6,0.75,0.7809523809523808
0,6,12,5,1000,0.75,0.6,0.75,0.7809523809523808
0,6,12,5,1000,0.75,0.6,0.75,0.7809523809523808
0,6,12,5,1000,0.75,0.6,0.75,0.7809523809523808
0,6,12,5,1000,0.75,0.6,0.75,0.7809523809523808
0,6,12,5,1000,0.75,0.6,0.75,0.7809523809523808
0,6,12,5,1000,0.75,0.6,0.75,0.7809523809523808
